"Line","Time","SideChain","1 Day_CL","1 Day_DG","1 Day_LPC","1 Day_PC","1 Day_PC e","1 Day_PC e_ether","1 Day_PE","1 Day_PE e_ether","1 Day_PE e","1 Day_PE p_vinylether","1 Day_PE p","1 Day_PG","1 Day_PI","1 Day_PS","1 Day_TG","1 Day_TG e","1 Day_TG e_ether","19 Day_CL","19 Day_DG","19 Day_LPC","19 Day_PC","19 Day_PC e","19 Day_PC e_ether","19 Day_PE","19 Day_PE e_ether","19 Day_PE e","19 Day_PE p_vinylether","19 Day_PE p","19 Day_PG","19 Day_PI","19 Day_PS","19 Day_TG","19 Day_TG e","19 Day_TG e_ether"
"s06","Older","4:0",0,3.6488,0,0,0,0,0,0,0,0,0,0,0,0,1.7345,0,0,0,4.193,0,0,0,0,0,0,0,0,0,0,0,0,1.272,0,0
"s06","Older","12:0",0,0,0.1028,0,0,0,0,49.7016,0,68.1144,0,0,0,0,1.1793,0,0,0,0,0.263,0,0,0,0,36.1878,0,68.6148,0,0,0,0,1.412,0,0
"s06","Older","16:2",0,0,0.2294,0,0,0,0,0,0,0,0,0,0,0,0.0134,0,0,0,0,0.1189,0,0,0,0,0,0,0,0,0,0,0.0071,0,0,0
"s06","Older","17:0",0,0,0.4805,0.631,0,0,0.0798,0,0,0,0,0,0,0,0.7761,4.1016,0,0,0,0.687,0.4161,0,0,0.0465,0,0,0,0,0,0,0,0.7885,10.3279,0
"s06","Older","17:1",0,0,0.5579,0.3085,0,0,0.0626,0,0,0,0,0,0,0,1.4364,0,0,0,0,0.7966,0.4308,0,0,0.0994,0,0,0,0,0,0,0,0.8506,0,0
"s06","Older","20:1",0,0,0.3179,0,0,0,0,0,0,0,0,0,0,0.1875,0.0516,0,0,0,0,0.3651,0,0,0,0.0886,0,0,0,0,0,0,0.2025,0.0064,0,0
"s06","Older","22:1",0,0,0,0.0438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0744,0,0,0,0,0,0,0,0,0,0,0,0,0
"s06","Older","24:2",0,0,0,0.0756,0,0,0,0,49.7016,0,45.2663,10.2744,0,0,0,0,0,0,0,0,0.1485,0,0,0,0,36.1878,0,37.467,9.4722,0,0,0,0,0
"s06","Older","25:1",0,0,0,8e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1461,0,0,0.038,0,0,0,0,0,0,0,0,0,0
"s06","Older","26:1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6319,0,0
"s06","Older","6:0",0,0,0,0.1195,0,0,0,0,0,0,0,0,0,0,1.0504,0,0,0,0,0,0.2229,0,0,0,0,0,0,0,0,0,0,0.6543,0,0
"s06","Older","8:0",0,0,0,8e-4,0,0,0,0,0,0,0,0,0,0,0.1285,0,0,0,0,0,0.1461,0,0,0,0,0,0,0,0,0,0,0.1915,0,0
"s06","Older","11:0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104,0,0,0,0,0,0,0,0,0.038,0,0,0,0,0,0,0,0.0092,0,0
"s06","Older","11:2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0383,0,0
"s06","Older","14:3",0,0,0,0,0,0,0.0718,0,0,0,0,0,0,0,0.0331,0,0,0,0,0,0,0,0,0.0312,0,0,0,0,0,0,0,0.0171,0,0
"s06","Older","19:0",0,0,0,0,0,0,0,0,0.0348,0,0,0,0,0,2.9008,4.1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2922,0.6922,10.3279,0
"s06","Older","20:2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5859,0.0478,0,0
"s06","Older","21:1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-4,0,0,0,0,0,0,0,0,3.1391,0,0,0,0,0,0,0,0,0,0
"s06","Older","26:0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223,0,0
"s06","Older","10:0",0,0,0,0,0,0,0,0,0,7.216,0,0,0,0,0.4501,0,0,0,0,0,0,0,0,0,0,0,14.0421,0,0,0,0,0.8293,0,0
"s06","Older","24:0",0,0,0,0,0,0,0,0,0,0,30.0641,0,0,0,0.1136,0,0,0,0,0,0,0,0,0,0,0,0,45.1899,0,0,0,0.2873,0,0
"s06","Older","10:2",0,0,0,0,0,0,0,0,0,0,0,10.2744,0,0,0.0164,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4722,0,0,0.0141,0,0
"s06","Older","10:1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s06","Older","10:3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,0,0
"s06","Older","10:4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s06","Older","11:1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1249,0,0
"s06","Older","11:3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5151,8.3166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138,0,0
"s06","Older","11:4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049,0,0
"s06","Older","12:1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0
"s06","Older","12:2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0409,0,0
"s06","Older","12:4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s06","Older","13:0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2242,0,0
"s06","Older","14:2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0076,0,0
"s06","Older","14:4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1864,0,0
"s06","Older","15:0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2563,0,0
"s06","Older","16:3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s06","Older","16:4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0614,0,0
"s06","Older","21:0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0724,0,0
"s06","Older","22:0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139,0,0
"s06","Older","22:3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0051,0,0
"s06","Older","22:4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s06","Older","23:0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253,0,0
"s06","Older","23:1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273,0,0
"s06","Older","24:1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0327,0,0
"s06","Older","25:0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0062,0,0
"s06","Older","28:0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1212,0,0
"s06","Older","28:1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2072,0,0
"s06","Older","30:0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347,0,0
"s06","Older","30:1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s06","Older","9:0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0467,0,0
